name,age_group,sex,year,population,ILO_inactive_share,total_inactive_population,ILO_unemployed_rate,total_unemployed_population,total_employed_population,Agriculture,Mining and quarrying,Manufacturing,Electricity,Water supply,Construction,Wholesale and retail,Transport,Accommodation,Information and communication,Financial and insurance,Real estate,Professional,Administrative and support,Public administration and defence,Education,Human health,Arts $ entertainment,Other services,Activities of households,Extraterritorial organizations
Rwanda,25-35,male,2015,1025688.96,21.269,218153.78490239996,9.771,78904.2619587865,728630.9131388136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Rwanda,25-35,male,2016,1038388.8,21.554,223814.321952,9.831,80080.81693689887,734493.6611111012,18751270426338.89,1192084977901.2458,2036361510952.394,150191232451.73685,132165.27833178022,4758548425520.741,5727571753457.4,4706183.165292739,918101359527.1458,152479096182.34167,342158666512.5245,94299.76900309656,535300.1757164627,823824603254.9403,786584105454.4298,1060706855741.0858,399707744512.2102,0,0,2948138.2018017755,0
Rwanda,25-35,male,2017,1051088.64,21.745,228559.224768,9.874,81216.55446000768,741312.8607719922,18733055660414.547,1222077144633.4587,2046736493125.3218,157232863543.91782,138361.77274770345,4843621607211.743,5907428049645.877,4903457.358724192,965195244718.0114,158870728139.28812,359282229235.3654,98406.9085806584,558614.6817942951,859705525008.6981,787456683271.6036,1103308900081.1,409354015095.5659,0,0,3062482.3607228477,0
Rwanda,25-35,male,2018,1063788.48,29.744,316413.24549119995,9.597,71725.60125580954,675649.6332529904,19342145215702.965,1255104199815.0486,2144718242047.7805,160120369707.01788,140902.72037494584,5040233735549.403,6038472989713.204,5112972.742110041,959285092969.691,165658971429.6412,365807426592.56024,101205.41735266362,574500.640511217,884153945224.0961,858836620005.6704,1133574863901.7327,418102947407.20874,0,0,3102750.6469519245,0
Rwanda,25-35,male,2019,1076488.32,30.183,324916.46962560003,9.952,74796.43054926029,676775.4198251397,261414.80335275776,20986.841899709016,35739.142428020445,2785.6944889537203,1659.017074463116,85091.57327042331,75014.44842661438,53720.212833006604,15933.185700860207,2571.7848329037897,6124.827465866668,1047.8002575556523,5947.9219081319,13525.647128899156,16086.395651779125,19637.16610326651,7279.420252770466,0,0,31269.76146572683,0
Rwanda,25-35,male,2020,1089188.16,27.601,300626.8240416,10.481,82649.1136217999,705912.2223366001,18813945364531.75,1088380572103.103,2600951013022.278,107923301345.75453,94970.34499287304,7332385825673.963,3940954394338.8174,4677686.682954502,1117825934822.951,151555817653.07516,401257462921.21375,114853.46646354064,651974.8821183144,1003386460455.4218,941708913975.3037,1139169046929.47,493850913176.3241,0,0,2393571.16757041,0
Rwanda,25-35,male,2021,1098918.2719999999,27.793,305422.35533695994,10.726,85110.37202127767,708385.5446417623,17181833011954.006,1525837067036.9487,2461386778052.6772,172014779004.42432,151369.56247832227,6245382499452.735,4975010520938.273,5252038.83711874,1096240853298.9159,170164676314.4223,387523053081.0658,104799.14477437719,594900.7214515761,915549579579.2805,992988095845.6061,1293766782689.751,466796248946.4202,0,0,3047132.6084328927,0
Rwanda,25-35,male,2022,1108648.384,28.67,317849.4916928,10.489,82946.89581410222,707851.9964930979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Rwanda,25-35,male,2023,1118378.496,29.604,331084.76995584,10.255,80736.97160582861,706556.7544383314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Rwanda,25-35,male,2024,1128108.608,30.371,342617.86533568,10.035,78823.9960263645,706666.7466379555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
